factor,model_a,model_b,model_id_a,model_id_b,A_S_a,A_S_b,delta_A_S,delta_A_S_pp,delta_RA,delta_RA_pp,delta_II,delta_II_pp,delta_PFC,delta_PFC_pp,delta_PSC,delta_PSC_pp
presence,Qwen,Skywork,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.895,0.845,0.050000000000000044,5.000000000000004,0.0,0.0,0.015075376884422065,1.5075376884422065,0.0,0.0,0.015000000000000013,1.5000000000000013
presence,Qwen,Idefics3,qwen3_vl_4b_instruct,idefics3_8b_llama3,0.895,0.79,0.10499999999999998,10.499999999999998,0.0,0.0,0.0050000000000000044,0.5000000000000004,0.0050000000000000044,0.5000000000000004,0.0,0.0
presence,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.895,0.92,0.025000000000000022,2.500000000000002,0.26111111111111107,26.111111111111107,0.02777777777777779,2.777777777777779,0.32999999999999996,32.99999999999999,0.12,12.0
presence,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.895,0.885,0.010000000000000009,1.0000000000000009,0.020000000000000018,2.0000000000000018,0.0,0.0,0.015000000000000013,1.5000000000000013,0.0050000000000000044,0.5000000000000004
presence,Qwen,InternVL,qwen3_vl_4b_instruct,internvl3_8b_hf,0.895,0.8,0.09499999999999997,9.499999999999996,0.0,0.0,0.0,0.0,0.0050000000000000044,0.5000000000000004,0.0050000000000000044,0.5000000000000004
presence,Gemma,Molmo,gemma3_4b_it,molmo_7b_d_0924,0.75,0.795,0.04500000000000004,4.5000000000000036,0.14270849195472313,14.270849195472312,0.01005025125628145,1.005025125628145,0.14500000000000002,14.500000000000002,0.0050000000000000044,0.5000000000000004
presence,Gemma,Skywork,gemma3_4b_it,skywork_vl_reward_7b,0.75,0.845,0.09499999999999997,9.499999999999996,0.398989898989899,39.8989898989899,0.015075376884422065,1.5075376884422065,0.4,40.0,0.010000000000000009,1.0000000000000009
presence,Gemma,Idefics3,gemma3_4b_it,idefics3_8b_llama3,0.75,0.79,0.040000000000000036,4.0000000000000036,0.398989898989899,39.8989898989899,0.0050000000000000044,0.5000000000000004,0.405,40.5,0.0050000000000000044,0.5000000000000004
presence,Gemma,Phi,gemma3_4b_it,phi35_vision_instruct,0.75,0.92,0.17000000000000004,17.000000000000004,0.13787878787878793,13.787878787878793,0.02777777777777779,2.777777777777779,0.07000000000000006,7.000000000000006,0.11499999999999999,11.5
presence,Gemma,LLaVA,gemma3_4b_it,llava_onevision_qwen2_7b,0.75,0.885,0.135,13.5,0.378989898989899,37.898989898989896,0.0,0.0,0.385,38.5,0.010000000000000009,1.0000000000000009
presence,Gemma,InternVL,gemma3_4b_it,internvl3_8b_hf,0.75,0.8,0.050000000000000044,5.000000000000004,0.398989898989899,39.8989898989899,0.0,0.0,0.405,40.5,0.010000000000000009,1.0000000000000009
presence,Molmo,Skywork,molmo_7b_d_0924,skywork_vl_reward_7b,0.795,0.845,0.04999999999999993,4.999999999999993,0.2562814070351759,25.628140703517587,0.005025125628140614,0.5025125628140614,0.255,25.5,0.0050000000000000044,0.5000000000000004
presence,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.795,0.79,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.005050251256281446,0.5050251256281446,0.26,26.0,0.010000000000000009,1.0000000000000009
presence,Molmo,Phi,molmo_7b_d_0924,phi35_vision_instruct,0.795,0.92,0.125,12.5,0.004829704075935193,0.4829704075935193,0.01772752652149634,1.772752652149634,0.07499999999999996,7.499999999999996,0.10999999999999999,10.999999999999998
presence,Molmo,LLaVA,molmo_7b_d_0924,llava_onevision_qwen2_7b,0.795,0.885,0.08999999999999997,8.999999999999996,0.23628140703517586,23.628140703517587,0.01005025125628145,1.005025125628145,0.24,24.0,0.015000000000000013,1.5000000000000013
presence,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.795,0.8,0.0050000000000000044,0.5000000000000004,0.2562814070351759,25.628140703517587,0.01005025125628145,1.005025125628145,0.26,26.0,0.015000000000000013,1.5000000000000013
presence,Skywork,Idefics3,skywork_vl_reward_7b,idefics3_8b_llama3,0.845,0.79,0.05499999999999994,5.499999999999994,0.0,0.0,0.01007537688442206,1.007537688442206,0.0050000000000000044,0.5000000000000004,0.015000000000000013,1.5000000000000013
presence,Skywork,Phi,skywork_vl_reward_7b,phi35_vision_instruct,0.845,0.92,0.07500000000000007,7.500000000000007,0.26111111111111107,26.111111111111107,0.012702400893355725,1.2702400893355725,0.32999999999999996,32.99999999999999,0.10499999999999998,10.499999999999998
presence,Skywork,LLaVA,skywork_vl_reward_7b,llava_onevision_qwen2_7b,0.845,0.885,0.040000000000000036,4.0000000000000036,0.020000000000000018,2.0000000000000018,0.015075376884422065,1.5075376884422065,0.015000000000000013,1.5000000000000013,0.020000000000000018,2.0000000000000018
presence,Skywork,InternVL,skywork_vl_reward_7b,internvl3_8b_hf,0.845,0.8,0.04499999999999993,4.499999999999993,0.0,0.0,0.015075376884422065,1.5075376884422065,0.0050000000000000044,0.5000000000000004,0.020000000000000018,2.0000000000000018
presence,Idefics3,Phi,idefics3_8b_llama3,phi35_vision_instruct,0.79,0.92,0.13,13.0,0.26111111111111107,26.111111111111107,0.022777777777777786,2.2777777777777786,0.33499999999999996,33.5,0.12,12.0
