factor,threshold_pp,model_a,model_b,delta_A_pp,delta_PFC,delta_PSC,delta_U8
spatial,2,molmo_7b_d_0924,skywork_vl_reward_7b,0.9339376476868888,0.025282194361186616,-0.1592877520144993,0.0464849744978314
spatial,3,molmo_7b_d_0924,skywork_vl_reward_7b,0.9339376476868888,0.025282194361186616,-0.1592877520144993,0.0464849744978314
spatial,3,molmo_7b_d_0924,idefics3_8b_llama3,2.9975714109520157,-0.1180578508116259,0.01720509416939109,0.07360771069039707
spatial,1,molmo_7b_d_0924,phi35_vision_instruct,0.9002704508567883,-0.014537312060519003,-0.0810878675890282,0.0661746322759259
spatial,2,molmo_7b_d_0924,phi35_vision_instruct,0.9002704508567883,-0.014537312060519003,-0.0810878675890282,0.0661746322759259
spatial,3,molmo_7b_d_0924,phi35_vision_instruct,0.9002704508567883,-0.014537312060519003,-0.0810878675890282,0.0661746322759259
spatial,2,molmo_7b_d_0924,internvl3_8b_hf,1.5802830934550038,-0.20141563127545947,-0.1753297622835468,-0.06990811554973053
spatial,3,molmo_7b_d_0924,internvl3_8b_hf,1.5802830934550038,-0.20141563127545947,-0.1753297622835468,-0.06990811554973053
spatial,3,molmo_7b_d_0924,llava_onevision_qwen2_7b,2.6997722279650804,-0.10929559864602556,-0.03249171971243403,0.07236112300903541
spatial,3,skywork_vl_reward_7b,idefics3_8b_llama3,2.063633763265127,-0.1433400451728125,0.17649284618389038,0.027122736192565666
spatial,2,skywork_vl_reward_7b,phi35_vision_instruct,1.834208098543677,-0.03981950642170562,0.0781998844254711,0.019689657778094505
